company_name,domain,partner_tech,vertical,country,icp_tier,icp_tier_name,lead_score,sw_monthly_visits,sw_bounce_rate,sw_pages_per_visit,sw_search_traffic_pct,tech_spend
"Lindero Canyon Dental Group",linderocanyondentalgroup.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",dentistsofanaheimhills.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",nuttreesmilesdentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"Dentists of Hanover",dentistsofhanover.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24301
"",botoxone.com,"Adobe Experience Manager","Health And Fitness","",1,Commerce,55,,,,,24220
Mastercard,mastercard.ie,"Adobe Experience Manager","Business And Industrial",IE,1,Commerce,55,,,,,24200
"Pro Health MD Network",prohealthmd.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,24194
"Costa Cruises",costacruises.co.uk,"Adobe Experience Manager",Travel,IT,1,Commerce,55,,,,,24179
"Puberty Too Soon",pubertytoosoon.com,"Adobe Experience Manager",Society,US,1,Commerce,55,,,,,24117
"Lombard Ireland",lombard.ie,"Adobe Experience Manager",Finance,IE,1,Commerce,55,,,,,24099
"",vinerandselig.ca,"Adobe Experience Manager",Finance,CA,1,Commerce,55,,,,,23997
"Viera Modern Dentistry",vieramoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23991
"Novo Nordisk Pharma Ltd",novonordisk.pk,"Adobe Experience Manager",Careers,PK,1,Commerce,55,,,,,23970
"Keller Williams",timothypshea.com,"Adobe Experience Manager","Real Estate","",1,Commerce,55,,,,,23919
"",manulifeim.com.vn,"Adobe Experience Manager",Unknown,VN,1,Commerce,55,,,,,23900
"Costa Kreuzfahrten Switzerland AG",costakreuzfahrten.ch,"Adobe Experience Manager","Business And Industrial",IT,1,Commerce,55,,,,,23879
Dupont,dupont.de,"Adobe Experience Manager",Travel,DE,1,Commerce,55,,,,,23855
